Country,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,30.22,31.65,48.82,64.73,68.71,72.16,75.16,78.00,79.00,82.00,81.27,82.35,84.17,86.19,87.59,84.17,84.39,87.04,88.13
Ghana,0.15,0.20,0.83,1.72,1.83,2.72,3.85,4.27,5.44,7.80,9.00,10.60,15.00,19.00,23.00,28.00,37.88,43.00,53.00
Gibraltar,19.13,21.17,23.67,32.89,39.07,45.30,51.61,58.00,65.07,65.00,65.00,65.02,,,,94.44,,,
Greece,9.14,10.94,14.67,21.42,24.00,32.25,35.88,38.20,42.40,44.40,51.65,55.07,59.87,63.21,66.83,69.09,69.89,72.24,75.67
Greenland,31.75,35.46,44.15,56.10,57.70,59.36,61.07,62.82,62.83,63.00,64.00,64.90,65.80,66.70,67.60,68.50,69.48,,
Grenada,4.06,5.13,14.76,19.57,20.49,21.40,22.29,23.18,24.05,27.00,30.00,32.00,35.00,51.60,53.81,55.86,59.07,,
Guadeloupe [included in France data],5.83,9.20,11.35,17.51,18.66,19.83,21.02,22.22,23.42,,,,,,,,,,
Guam,16.11,25.38,31.19,36.16,38.56,43.85,46.15,48.42,50.64,54.04,57.70,61.53,65.40,69.27,73.14,77.01,80.51,,
Guatemala,0.71,1.74,3.39,5.10,5.70,6.50,7.30,8.30,9.30,10.50,12.30,16.00,19.70,23.40,28.81,34.51,40.70,,44.40
Guernsey,31.90,44.47,53.57,64.52,73.57,83.63,,,,,83.63,,,,,,,,
Guinea,0.10,0.18,0.40,0.51,0.54,0.64,0.78,0.92,0.94,1.00,2.00,3.10,4.50,6.40,8.20,9.80,11.40,21.83,23.00
Guinea-Bissau,0.23,0.30,1.02,1.81,1.90,2.06,2.21,2.35,2.30,2.45,2.67,2.89,3.10,3.32,,17.00,18.00,22.00,28.00
Guyana,6.61,13.21,,,,,13.80,18.20,23.90,29.90,30.00,30.50,31.00,32.00,34.00,35.66,37.33,,
Haiti,0.23,0.34,0.89,5.40,6.38,6.80,7.20,7.60,8.10,8.37,9.00,9.80,10.60,11.40,12.20,12.23,31.00,32.47,32.50
Honduras,1.20,1.42,2.60,5.60,6.50,7.80,9.40,9.60,9.80,11.09,15.90,18.12,17.80,19.08,27.10,29.50,32.14,,
"Hong Kong, China",27.83,38.67,43.08,56.40,56.90,60.80,64.80,66.70,69.40,72.00,72.20,72.90,74.20,79.87,84.95,87.48,89.42,90.51,91.74
Hungary,7.00,14.53,16.67,27.74,38.97,47.06,53.30,61.00,62.00,65.00,68.02,70.58,72.64,75.65,72.83,79.26,76.75,76.07,80.37
